total_congestion,std_dev,beta,reward
26.0,3.0413814,0.9,-28.737244
41.0,0.8291562,0.9,-41.74624
33.0,8.317903,0.9,-40.48611
41.0,0.8291562,0.9,-41.74624
40.0,8.062258,0.9,-47.25603
48.0,11.022704,0.9,-57.920433
42.0,2.0615528,0.9,-43.855396
57.0,5.8040934,0.9,-62.223682
63.0,12.754901,0.9,-74.47941
39.0,3.49106,0.9,-42.141953
70.0,2.5,0.9,-72.25
66.0,4.555217,0.9,-70.09969
73.0,11.143945,0.9,-83.02955
73.0,17.282578,0.9,-588.5543
84.0,20.049938,0.9,-602.0449
93.0,22.26404,0.9,-613.03766
67.0,3.49106,0.9,-70.14195
101.0,17.412281,0.9,-616.671
82.0,7.632169,0.9,-88.86895
103.0,17.753521,0.9,-618.97815
87.0,4.918079,0.9,-91.42627
92.0,13.019217,0.9,-103.71729
89.0,1.299038,0.9,-90.169136
123.0,2.8613808,0.9,-125.57524
98.0,13.047988,0.9,-109.74319
99.0,1.9202864,0.9,-100.72826
111.0,8.377798,0.9,-118.540016
89.0,4.7631397,0.9,-93.28683
117.0,2.2776084,0.9,-119.04985
119.0,10.802198,0.9,-128.72198
114.0,16.62077,0.9,-628.9587
105.0,25.272268,0.9,-627.74506
115.0,27.770264,0.9,-639.9932
103.0,5.9319053,0.9,-108.338715
127.0,8.347904,0.9,-134.5131
149.0,22.331312,0.9,-669.09814
143.0,33.326977,0.9,-672.99426
9.0,1.7853571,0.9,-10.606821
17.0,4.2646804,0.9,-20.838213
19.0,2.4874685,0.9,-21.238722
25.0,4.322904,0.9,-28.890614
38.0,5.5,0.9,-42.95
29.0,4.43706,0.9,-32.993355
36.0,8.031189,0.9,-43.22807
46.0,11.011357,0.9,-55.91022
58.0,12.599603,0.9,-69.339645
66.0,16.515144,0.9,-580.86365
79.0,17.767597,0.9,-594.99084
91.0,22.25281,0.9,-611.0275
58.0,10.012492,0.9,-67.011246
77.0,17.268106,0.9,-592.5413
105.0,24.762623,0.9,-627.2864
63.0,6.3786755,0.9,-68.74081
67.0,2.1650636,0.9,-68.948555
81.0,11.712707,0.9,-91.541435
76.0,2.1213202,0.9,-77.90919
80.0,5.2440443,0.9,-84.71964
88.0,10.319883,0.9,-97.287895
87.0,15.006248,0.9,-600.5056
68.0,3.391165,0.9,-71.05205
88.0,16.140013,0.9,-602.526
96.0,2.1213202,0.9,-97.90919
122.0,8.077747,0.9,-129.26997
82.0,4.7169905,0.9,-86.24529
110.0,2.1794496,0.9,-111.9615
113.0,12.47748,0.9,-124.22973
103.0,23.263437,0.9,-623.9371
111.0,26.752337,0.9,-635.0771
99.0,9.756408,0.9,-107.78077
118.0,15.041609,0.9,-631.5375
133.0,30.260328,0.9,-660.2343
141.0,33.75926,0.9,-671.3833
128.0,9.669539,0.9,-136.70259
121.0,10.256096,0.9,-130.23048
165.0,27.779264,0.9,-690.00134
165.0,39.776722,0.9,-700.7991
13.0,3.269174,0.9,-15.942257
16.0,1.4142135,0.9,-17.272793
21.0,4.7631397,0.9,-25.286825
33.0,7.7580605,0.9,-39.982254
44.0,11.0,0.9,-53.9
28.0,2.5495098,0.9,-30.29456
28.0,3.082207,0.9,-30.773987
42.0,5.545268,0.9,-46.99074
44.0,10.511898,0.9,-53.46071
54.0,12.010412,0.9,-64.80937
70.0,15.516121,0.9,-583.9645
51.0,3.344772,0.9,-54.010296
40.0,8.124039,0.9,-47.311634
67.0,5.53963,0.9,-71.985664
72.0,5.049752,0.9,-76.54478
59.0,3.7666297,0.9,-62.389965
61.0,6.2998013,0.9,-66.66982
67.0,4.7631397,0.9,-71.28683
73.0,4.8669806,0.9,-77.38028
95.0,9.807523,0.9,-103.82677
78.0,19.032866,0.9,-595.1296
72.0,1.7320508,0.9,-73.558846
96.0,10.511898,0.9,-105.46071
96.0,19.026299,0.9,-613.12366
77.0,3.9607449,0.9,-80.56467
109.0,1.6393596,0.9,-110.475426
87.0,8.814052,0.9,-94.93265
99.0,12.275484,0.9,-110.047935
96.0,23.0,0.9,-616.7
110.0,26.004807,0.9,-633.4043
128.0,29.034462,0.9,-654.131
108.0,8.631338,0.9,-115.7682
112.0,4.1231055,0.9,-115.71079
136.0,17.029387,0.9,-651.3264
112.0,7.071068,0.9,-118.36396
111.0,15.270478,0.9,-624.7434
107.0,10.304732,0.9,-116.27426
112.0,17.70593,0.9,-627.9353
98.0,8.20061,0.9,-105.38055
112.0,17.073372,0.9,-627.366
111.0,5.2618914,0.9,-115.7357
9.0,1.7853571,0.9,-10.606821
14.0,3.5,0.9,-17.15
19.0,2.384848,0.9,-21.146362
20.0,5.0,0.9,-24.5
28.0,3.7416575,0.9,-31.367493
37.0,3.344772,0.9,-40.010296
35.0,6.2998013,0.9,-40.669823
38.0,1.118034,0.9,-39.00623
46.0,7.4330344,0.9,-52.68973
55.0,1.0897248,0.9,-55.98075
48.0,2.5495098,0.9,-50.29456
54.0,11.543396,0.9,-64.38905
62.0,15.5,0.9,-575.95
76.0,18.506756,0.9,-592.65607
43.0,2.772634,0.9,-45.49537
78.0,16.101242,0.9,-592.4911
94.0,22.522211,0.9,-614.27
60.0,6.164414,0.9,-65.54797
90.0,20.006248,0.9,-608.0056
65.0,4.145781,0.9,-68.7312
100.0,7.071068,0.9,-106.36396
93.0,12.255101,0.9,-104.02959
91.0,2.6809514,0.9,-93.41286
73.0,8.75714,0.9,-80.881424
86.0,2.0615528,0.9,-87.8554
92.0,5.7879186,0.9,-97.20913
92.0,11.202679,0.9,-102.08241
80.0,3.082207,0.9,-82.77399
123.0,14.821858,0.9,-636.33966
102.0,7.664855,0.9,-108.89837
120.0,2.0,0.9,-121.8
109.0,11.255554,0.9,-119.13
114.0,16.039015,0.9,-628.4351
119.0,27.316433,0.9,-643.5848
110.0,10.5,0.9,-119.45
127.0,1.47902,0.9,-128.33112
116.0,12.020815,0.9,-126.81873
109.0,0.8291562,0.9,-109.74624
130.0,5.0249376,0.9,-134.52245
12.0,2.5495098,0.9,-14.294559
15.0,2.4874685,0.9,-17.238722
25.0,5.7608595,0.9,-30.184772
39.0,9.756408,0.9,-47.780766
31.0,2.2776084,0.9,-33.049847
45.0,8.814052,0.9,-52.932648
51.0,12.255101,0.9,-62.02959
60.0,15.0,0.9,-73.5
28.0,2.345208,0.9,-30.110687
50.0,10.523783,0.9,-59.471405
76.0,17.535679,0.9,-591.7821
81.0,20.27776,0.9,-599.25
39.0,3.7666297,0.9,-42.389965
63.0,4.49305,0.9,-67.04375
63.0,2.2776084,0.9,-65.04985
60.0,10.392304,0.9,-69.35307
65.0,2.8613808,0.9,-67.57524
69.0,13.754544,0.9,-81.37909
86.0,16.194136,0.9,-600.5747
71.0,1.9202864,0.9,-72.72826
86.0,2.6925824,0.9,-88.423325
80.0,3.535534,0.9,-83.181984
78.0,2.5,0.9,-80.25
80.0,11.113055,0.9,-90.00175
76.0,4.0,0.9,-79.6
89.0,5.9319053,0.9,-94.338715
73.0,16.813313,0.9,-588.13196
78.0,4.1533117,0.9,-81.73798
101.0,2.8613808,0.9,-103.57524
85.0,3.269174,0.9,-87.94225
98.0,4.1533117,0.9,-101.73798
105.0,15.769829,0.9,-619.1929
99.0,24.772717,0.9,-621.2954
83.0,7.854139,0.9,-90.068726
124.0,4.0620193,0.9,-127.655815
149.0,5.629165,0.9,-154.06625
113.0,5.2618914,0.9,-117.7357
109.0,3.7666297,0.9,-112.38997
105.0,4.380354,0.9,-108.94232
107.0,2.1650636,0.9,-108.948555
9.0,1.7853571,0.9,-10.606821
17.0,4.2646804,0.9,-20.838213
27.0,6.259992,0.9,-32.63399
35.0,8.75714,0.9,-42.881424
44.0,11.0,0.9,-53.9
30.0,2.0615528,0.9,-31.855398
21.0,3.7666297,0.9,-24.389967
38.0,9.013878,0.9,-46.112488
47.0,11.797775,0.9,-57.617996
43.0,1.9202864,0.9,-44.728256
62.0,9.526279,0.9,-70.573654
47.0,1.0897248,0.9,-47.98075
59.0,2.2776084,0.9,-61.049847
54.0,3.5707142,0.9,-57.213642
57.0,3.7666297,0.9,-60.389965
60.0,3.082207,0.9,-62.773987
54.0,1.5,0.9,-55.35
60.0,8.689074,0.9,-67.82017
69.0,0.8291562,0.9,-69.74624
69.0,8.13557,0.9,-76.322014
63.0,14.754236,0.9,-76.27881
75.0,16.768646,0.9,-590.0918
79.0,3.7666297,0.9,-82.38997
85.0,7.292976,0.9,-91.563675
97.0,13.808965,0.9,-109.42807
88.0,21.011902,0.9,-606.9107
97.0,23.763155,0.9,-618.38684
83.0,1.9202864,0.9,-84.72826
105.0,13.273564,0.9,-116.946205
86.0,2.8722813,0.9,-88.58505
89.0,8.785642,0.9,-96.907074
112.0,26.009613,0.9,-635.4086
106.0,3.2015622,0.9,-108.88141
129.0,18.833149,0.9,-645.9498
130.0,27.59076,0.9,-654.83167
143.0,33.259396,0.9,-672.9335
153.0,36.25862,0.9,-685.63275
161.0,38.764515,0.9,-695.88806
141.0,14.804982,0.9,-654.32446
127.0,19.343927,0.9,-644.40955
162.0,40.003124,0.9,-698.0028
155.0,20.753012,0.9,-673.67773
13.0,3.269174,0.9,-15.942257
22.0,5.5,0.9,-26.95
13.0,2.046338,0.9,-14.841704
24.0,6.0,0.9,-29.4
29.0,0.4330127,0.9,-29.389711
37.0,6.2998013,0.9,-42.669823
36.0,1.7320508,0.9,-37.558846
29.0,5.7608595,0.9,-34.184772
39.0,1.7853571,0.9,-40.606823
47.0,7.2586155,0.9,-53.532753
48.0,12.0,0.9,-58.8
60.0,14.017846,0.9,-72.61606
67.0,16.253845,0.9,-581.6285
76.0,18.506756,0.9,-592.65607
85.0,21.252941,0.9,-604.1276
43.0,5.7608595,0.9,-48.184772
51.0,1.47902,0.9,-52.33112
62.0,10.259142,0.9,-71.23323
90.0,16.695808,0.9,-605.02625
93.0,19.828957,0.9,-610.84607
61.0,4.81534,0.9,-65.33381
85.0,6.259992,0.9,-90.633995
92.0,4.1231055,0.9,-95.71079
78.0,8.9861,0.9,-86.087494
82.0,3.5707142,0.9,-85.213646
65.0,6.9056134,0.9,-71.21505
88.0,14.017846,0.9,-100.61606
97.0,22.785686,0.9,-617.50714
96.0,6.0827627,0.9,-101.47449
97.0,2.8613808,0.9,-99.57524
100.0,11.357817,0.9,-110.22203
88.0,5.5226803,0.9,-92.97041
91.0,6.1796036,0.9,-96.561646
85.0,4.380354,0.9,-88.94232
97.0,1.9202864,0.9,-98.72826
112.0,9.513149,0.9,-120.56184
104.0,14.611639,0.9,-617.15045
90.0,22.02839,0.9,-609.82556
107.0,23.477383,0.9,-628.12964
94.0,4.387482,0.9,-97.94873
127.0,4.8669806,0.9,-131.38028
142.0,11.280514,0.9,-652.15247
138.0,18.445868,0.9,-654.6013
9.0,1.7853571,0.9,-10.606821
14.0,3.5,0.9,-17.15
13.0,2.8613808,0.9,-15.575243
26.0,6.538348,0.9,-31.884514
39.0,9.756408,0.9,-47.780766
28.0,3.082207,0.9,-30.773987
25.0,3.8971143,0.9,-28.507402
36.0,8.031189,0.9,-43.22807
49.0,10.256096,0.9,-58.230484
57.0,14.254385,0.9,-69.82895
45.0,2.6809514,0.9,-47.412857
55.0,8.84237,0.9,-62.958134
69.0,15.319513,0.9,-582.78754
42.0,1.6583124,0.9,-43.49248
69.0,10.401322,0.9,-78.36119
75.0,16.768646,0.9,-590.0918
83.0,19.765816,0.9,-600.78925
51.0,1.7853571,0.9,-52.606823
84.0,13.0958,0.9,-95.78622
95.0,22.286488,0.9,-615.05786
110.0,24.550968,0.9,-632.0959
70.0,8.046739,0.9,-77.242065
98.0,6.837397,0.9,-104.153656
97.0,14.855555,0.9,-610.37
114.0,23.135471,0.9,-634.8219
87.0,5.494315,0.9,-91.944885
114.0,15.206906,0.9,-627.6862
82.0,4.769696,0.9,-86.292725
97.0,2.6809514,0.9,-99.41286
107.0,9.679231,0.9,-115.7113
111.0,14.324368,0.9,-623.8919
115.0,27.770264,0.9,-639.9932
125.0,29.768902,0.9,-651.792
113.0,12.754901,0.9,-124.47941
125.0,16.768646,0.9,-640.0918
120.0,27.613403,0.9,-644.85205
126.0,10.712143,0.9,-135.64093
138.0,7.826238,0.9,-145.04361
132.0,19.78636,0.9,-649.80774
134.0,9.17878,0.9,-142.2609
9.0,2.2776084,0.9,-11.049848
25.0,5.7608595,0.9,-30.184772
22.0,2.0615528,0.9,-23.855398
26.0,6.652067,0.9,-31.98686
37.0,1.7853571,0.9,-38.606823
37.0,3.112475,0.9,-39.801228
35.0,8.287792,0.9,-42.459015
48.0,12.083046,0.9,-58.87474
58.0,14.517231,0.9,-71.065506
44.0,5.0990195,0.9,-48.58912
55.0,12.33643,0.9,-66.10278
45.0,2.2776084,0.9,-47.049847
56.0,2.345208,0.9,-58.110687
